Date,Open,High,Low,Close,Adj Close,Volume
2019-04-08,147.539993,148.800003,146.710007,148.679993,138.340103,10706800
2019-04-15,148.750000,149.220001,147.509995,148.270004,137.958633,10477200
2019-04-22,147.949997,150.160004,147.770004,150.160004,139.717194,11030500
2019-04-29,150.220001,150.869995,148.059998,150.630005,140.154495,13132200
2019-05-06,148.190002,150.339996,144.649994,147.529999,137.270065,15456500
2019-05-13,144.699997,148.029999,143.250000,146.240005,136.069839,13647800
2019-05-20,145.259995,146.809998,143.380005,144.580002,134.525284,8730800
2019-05-27,144.820007,145.279999,140.600006,140.690002,130.905777,12279200
2019-06-03,140.690002,147.449997,139.619995,146.789993,136.581543,17055900
2019-06-10,147.729996,148.830002,146.929993,147.630005,137.363144,8841800
2019-06-17,147.279999,150.940002,147.139999,150.699997,140.219620,14199500
2019-06-24,150.330002,150.470001,148.130005,150.089996,140.171417,11172300
2019-07-01,151.850006,152.660004,150.509995,152.550003,142.468872,11399300
2019-07-08,151.869995,153.639999,151.020004,153.610001,143.458801,11938800
2019-07-15,153.830002,153.830002,151.589996,151.800003,141.768448,9460400
2019-07-22,152.059998,154.509995,151.759995,154.410004,144.205948,9090300
2019-07-29,154.350006,154.380005,148.580002,149.580002,139.695114,17033600
2019-08-05,147.179993,150.020004,143.869995,148.919998,139.078751,18798600
2019-08-12,148.119995,150.080002,144.050003,147.339996,137.603134,16521600
2019-08-19,149.089996,149.899994,144.639999,145.309998,135.707291,11592700
2019-08-26,146.529999,149.889999,145.309998,149.039993,139.190796,12432600
2019-09-02,147.990005,152.110001,147.369995,151.679993,141.656311,10940000
2019-09-09,152.220001,154.130005,150.630005,153.470001,143.328033,16347800
2019-09-16,152.220001,153.610001,151.350006,152.039993,141.992584,9679500
2019-09-23,151.710007,152.809998,149.440002,150.300003,141.010696,16093700
2019-09-30,150.649994,151.880005,144.899994,149.729996,140.475937,15226100
2019-10-07,149.380005,151.899994,146.710007,150.630005,141.320282,14631900
2019-10-14,150.520004,152.639999,150.250000,151.580002,142.211624,8305500
2019-10-21,152.350006,153.759995,151.770004,153.449997,143.966019,9269700
2019-10-28,154.119995,155.830002,153.419998,155.830002,146.198944,11098800
2019-11-04,156.699997,157.339996,155.630005,157.160004,147.446747,11355800
2019-11-11,156.399994,158.550003,156.250000,158.550003,148.750839,10370500
2019-11-18,158.419998,159.149994,157.250000,158.139999,148.366165,12796100
2019-11-25,158.759995,160.740005,158.600006,160.020004,150.129990,7924400
